agent_id,date,total_tours,escorted_tours,virtual_tours,actual_travels_required,daily_travel_time,travel_segments,final_physical_location
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-09,3,3,0,2,16.7913105484186,"[{'from_property': 64938, 'to_property': 64937, 'travel_time': 11.175193499920177, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-09 16:45:00'), 'next_start': Timestamp('2025-05-09 17:00:00'), 'buffer_time': 15.0}, {'from_property': 64937, 'to_property': 64933, 'travel_time': 5.616117048498422, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-09 18:00:00'), 'next_start': Timestamp('2025-05-09 18:00:00'), 'buffer_time': 0.0}]",64933.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-12,4,3,1,0,0.0,[],64938.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-13,1,1,0,0,0.0,[],64937.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-14,7,7,0,5,52.4603519645394,"[{'from_property': 64934, 'to_property': 64938, 'travel_time': 14.490105346733376, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-14 14:00:00'), 'next_start': Timestamp('2025-05-14 15:00:00'), 'buffer_time': 60.0}, {'from_property': 64938, 'to_property': 64932, 'travel_time': 15.460035594910849, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-14 16:15:00'), 'next_start': Timestamp('2025-05-14 16:30:00'), 'buffer_time': 15.0}, {'from_property': 64932, 'to_property': 84770, 'travel_time': 7.503403674298393, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-14 17:30:00'), 'next_start': Timestamp('2025-05-14 18:00:00'), 'buffer_time': 30.0}, {'from_property': 84770, 'to_property': 64932, 'travel_time': 7.503403674298393, 'tour_causing_travel': 4, 'prev_end': Timestamp('2025-05-14 18:45:00'), 'next_start': Timestamp('2025-05-14 19:00:00'), 'buffer_time': 15.0}, {'from_property': 64932, 'to_property': 84770, 'travel_time': 7.503403674298393, 'tour_causing_travel': 6, 'prev_end': Timestamp('2025-05-14 21:00:00'), 'next_start': Timestamp('2025-05-14 21:00:00'), 'buffer_time': 0.0}]",84770.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-15,6,5,1,4,20.036567575001023,"[{'from_property': 64943, 'to_property': 64935, 'travel_time': 5.0, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-15 14:30:00'), 'next_start': Timestamp('2025-05-15 15:00:00'), 'buffer_time': 30.0}, {'from_property': 64935, 'to_property': 100490, 'travel_time': 5.0, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-15 16:00:00'), 'next_start': Timestamp('2025-05-15 17:00:00'), 'buffer_time': 60.0}, {'from_property': 100490, 'to_property': 64935, 'travel_time': 5.0, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-15 18:00:00'), 'next_start': Timestamp('2025-05-15 18:00:00'), 'buffer_time': 0.0}, {'from_property': 64935, 'to_property': 64932, 'travel_time': 5.036567575001021, 'tour_causing_travel': 5, 'prev_end': Timestamp('2025-05-15 20:01:00'), 'next_start': Timestamp('2025-05-15 20:30:00'), 'buffer_time': 29.0}]",64932.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-16,2,1,1,0,0.0,[],64934.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-17,2,2,0,1,5.0,"[{'from_property': 64934, 'to_property': 64933, 'travel_time': 5.0, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-17 16:45:00'), 'next_start': Timestamp('2025-05-17 16:30:00'), 'buffer_time': -15.0}]",64933.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-19,4,3,1,2,25.93964538802961,"[{'from_property': 64933, 'to_property': 64938, 'travel_time': 14.764451888109434, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-19 17:30:00'), 'next_start': Timestamp('2025-05-19 18:00:00'), 'buffer_time': 30.0}, {'from_property': 64938, 'to_property': 64937, 'travel_time': 11.175193499920177, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-19 20:31:00'), 'next_start': Timestamp('2025-05-19 21:00:00'), 'buffer_time': 29.0}]",64937.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-20,5,3,2,2,13.152366758149611,"[{'from_property': 64942, 'to_property': 64934, 'travel_time': 5.164938606490889, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-20 14:15:00'), 'next_start': Timestamp('2025-05-20 14:00:00'), 'buffer_time': -15.0}, {'from_property': 64934, 'to_property': 64939, 'travel_time': 7.9874281516587216, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-20 16:00:00'), 'next_start': Timestamp('2025-05-20 18:00:00'), 'buffer_time': 120.0}]",64939.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-21,5,5,0,4,22.095139208746772,"[{'from_property': 64933, 'to_property': 64937, 'travel_time': 5.616117048498422, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-21 15:45:00'), 'next_start': Timestamp('2025-05-21 16:00:00'), 'buffer_time': 15.0}, {'from_property': 64937, 'to_property': 64941, 'travel_time': 5.431452555874965, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-21 17:00:00'), 'next_start': Timestamp('2025-05-21 16:00:00'), 'buffer_time': -60.0}, {'from_property': 64941, 'to_property': 64937, 'travel_time': 5.431452555874965, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-21 17:00:00'), 'next_start': Timestamp('2025-05-21 19:30:00'), 'buffer_time': 150.0}, {'from_property': 64937, 'to_property': 64933, 'travel_time': 5.616117048498422, 'tour_causing_travel': 4, 'prev_end': Timestamp('2025-05-21 20:30:00'), 'next_start': Timestamp('2025-05-21 20:30:00'), 'buffer_time': 0.0}]",64933.0
