agent_id,date,conflict_severity,available_time,required_time,current_tour_end,next_tour_start
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-17,25.0,-15.0,10.0,2025-05-17 16:45:00,2025-05-17 16:30:00
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-20,25.16493860649089,-15.0,10.164938606490889,2025-05-20 14:15:00,2025-05-20 14:00:00
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-21,70.43145255587497,-60.0,10.431452555874966,2025-05-21 17:00:00,2025-05-21 16:00:00
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-21,10.616117048498422,0.0,10.616117048498422,2025-05-21 20:30:00,2025-05-21 20:30:00
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-28,12.503403674298394,0.0,12.503403674298394,2025-05-28 17:00:00,2025-05-28 17:00:00
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-05,10.616117048498422,0.0,10.616117048498422,2025-05-05 16:00:00,2025-05-05 16:00:00
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-05,115.0,-105.0,10.0,2025-05-05 17:45:00,2025-05-05 16:00:00
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-07,12.792444379186417,0.0,12.792444379186417,2025-05-07 15:30:00,2025-05-07 15:30:00
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-07,10.0,0.0,10.0,2025-05-07 19:30:00,2025-05-07 19:30:00
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-09,19.764451888109434,0.0,19.764451888109434,2025-05-09 14:00:00,2025-05-09 14:00:00
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-09,4.764451888109434,15.0,19.764451888109434,2025-05-09 16:45:00,2025-05-09 17:00:00
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-10,5.161631066757536,15.0,20.161631066757536,2025-05-10 16:15:00,2025-05-10 16:30:00
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-10,20.161631066757536,0.0,20.161631066757536,2025-05-10 19:00:00,2025-05-10 19:00:00
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-13,10.0,0.0,10.0,2025-05-13 14:00:00,2025-05-13 14:00:00
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-13,70.0,-60.0,10.0,2025-05-13 15:00:00,2025-05-13 14:00:00
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-14,10.0,0.0,10.0,2025-05-14 19:00:00,2025-05-14 19:00:00
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-15,10.548452597575501,0.0,10.548452597575501,2025-05-15 17:00:00,2025-05-15 17:00:00
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-16,10.0,0.0,10.0,2025-05-16 19:30:00,2025-05-16 19:30:00
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-17,10.0,0.0,10.0,2025-05-17 17:00:00,2025-05-17 17:00:00
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-17,25.0,-15.0,10.0,2025-05-17 18:45:00,2025-05-17 18:30:00
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-19,12.108029371064788,0.0,12.108029371064788,2025-05-19 17:00:00,2025-05-19 17:00:00
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-20,12.503403674298394,0.0,12.503403674298394,2025-05-20 15:30:00,2025-05-20 15:30:00
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-20,12.503403674298394,0.0,12.503403674298394,2025-05-20 18:00:00,2025-05-20 18:00:00
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-20,12.108029371064788,0.0,12.108029371064788,2025-05-20 19:00:00,2025-05-20 19:00:00
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-21,12.50673165292307,0.0,12.50673165292307,2025-05-21 18:00:00,2025-05-21 18:00:00
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-28,70.0,-60.0,10.0,2025-05-28 22:00:00,2025-05-28 21:00:00
28be1402-23e6-47a2-851b-24c30e4d1b3f,2025-05-02,12.33667875198481,0.0,12.33667875198481,2025-05-02 15:30:00,2025-05-02 15:30:00
28be1402-23e6-47a2-851b-24c30e4d1b3f,2025-05-02,12.33667875198481,0.0,12.33667875198481,2025-05-02 16:30:00,2025-05-02 16:30:00
28be1402-23e6-47a2-851b-24c30e4d1b3f,2025-05-02,42.10802937106479,-30.0,12.108029371064788,2025-05-02 17:30:00,2025-05-02 17:00:00
28be1402-23e6-47a2-851b-24c30e4d1b3f,2025-05-03,14.881003564504423,0.0,14.881003564504423,2025-05-03 17:00:00,2025-05-03 17:00:00
28be1402-23e6-47a2-851b-24c30e4d1b3f,2025-05-09,85.0,-75.0,10.0,2025-05-09 15:15:00,2025-05-09 14:00:00
28be1402-23e6-47a2-851b-24c30e4d1b3f,2025-05-10,85.0,-75.0,10.0,2025-05-10 18:45:00,2025-05-10 17:30:00
28be1402-23e6-47a2-851b-24c30e4d1b3f,2025-05-12,10.616117048498422,0.0,10.616117048498422,2025-05-12 20:30:00,2025-05-12 20:30:00
28be1402-23e6-47a2-851b-24c30e4d1b3f,2025-05-14,55.0,-45.0,10.0,2025-05-14 14:45:00,2025-05-14 14:00:00
28be1402-23e6-47a2-851b-24c30e4d1b3f,2025-05-14,12.108029371064788,0.0,12.108029371064788,2025-05-14 20:00:00,2025-05-14 20:00:00
28be1402-23e6-47a2-851b-24c30e4d1b3f,2025-05-19,25.0,-15.0,10.0,2025-05-19 21:45:00,2025-05-19 21:30:00
28be1402-23e6-47a2-851b-24c30e4d1b3f,2025-05-20,25.0,-15.0,10.0,2025-05-20 15:45:00,2025-05-20 15:30:00
28be1402-23e6-47a2-851b-24c30e4d1b3f,2025-05-20,10.164938606490889,0.0,10.164938606490889,2025-05-20 19:00:00,2025-05-20 19:00:00
28be1402-23e6-47a2-851b-24c30e4d1b3f,2025-05-21,12.108029371064788,0.0,12.108029371064788,2025-05-21 20:30:00,2025-05-21 20:30:00
28be1402-23e6-47a2-851b-24c30e4d1b3f,2025-05-23,79.76445188810943,-60.0,19.764451888109434,2025-05-23 19:15:00,2025-05-23 18:15:00
28be1402-23e6-47a2-851b-24c30e4d1b3f,2025-05-23,4.764451888109434,15.0,19.764451888109434,2025-05-23 19:15:00,2025-05-23 19:30:00
28be1402-23e6-47a2-851b-24c30e4d1b3f,2025-05-27,10.534647924625943,0.0,10.534647924625943,2025-05-27 17:00:00,2025-05-27 17:00:00
fe3fff05-8c00-4519-866a-5a2c4aec8c96,2025-05-01,85.0,-75.0,10.0,2025-05-01 18:15:00,2025-05-01 17:00:00
fe3fff05-8c00-4519-866a-5a2c4aec8c96,2025-05-05,55.0,-45.0,10.0,2025-05-05 18:45:00,2025-05-05 18:00:00
fe3fff05-8c00-4519-866a-5a2c4aec8c96,2025-05-06,42.50673165292307,-30.0,12.50673165292307,2025-05-06 14:45:00,2025-05-06 14:15:00
fe3fff05-8c00-4519-866a-5a2c4aec8c96,2025-05-07,10.0,0.0,10.0,2025-05-07 17:00:00,2025-05-07 17:00:00
fe3fff05-8c00-4519-866a-5a2c4aec8c96,2025-05-07,10.0,0.0,10.0,2025-05-07 18:00:00,2025-05-07 18:00:00
fe3fff05-8c00-4519-866a-5a2c4aec8c96,2025-05-09,12.33667875198481,0.0,12.33667875198481,2025-05-09 19:00:00,2025-05-09 19:00:00
fe3fff05-8c00-4519-866a-5a2c4aec8c96,2025-05-09,12.33667875198481,0.0,12.33667875198481,2025-05-09 20:00:00,2025-05-09 20:00:00
fe3fff05-8c00-4519-866a-5a2c4aec8c96,2025-05-10,25.334875958546576,-15.0,10.334875958546576,2025-05-10 14:45:00,2025-05-10 14:30:00
fe3fff05-8c00-4519-866a-5a2c4aec8c96,2025-05-10,12.108029371064788,0.0,12.108029371064788,2025-05-10 17:00:00,2025-05-10 17:00:00
fe3fff05-8c00-4519-866a-5a2c4aec8c96,2025-05-10,12.108029371064788,0.0,12.108029371064788,2025-05-10 18:00:00,2025-05-10 18:00:00
fe3fff05-8c00-4519-866a-5a2c4aec8c96,2025-05-10,12.108029371064788,0.0,12.108029371064788,2025-05-10 19:00:00,2025-05-10 19:00:00
fe3fff05-8c00-4519-866a-5a2c4aec8c96,2025-05-12,12.987428151658722,0.0,12.987428151658722,2025-05-12 16:30:00,2025-05-12 16:30:00
fe3fff05-8c00-4519-866a-5a2c4aec8c96,2025-05-14,12.503403674298394,0.0,12.503403674298394,2025-05-14 20:00:00,2025-05-14 20:00:00
fe3fff05-8c00-4519-866a-5a2c4aec8c96,2025-05-19,72.79244437918642,-60.0,12.792444379186417,2025-05-19 16:00:00,2025-05-19 15:00:00
fe3fff05-8c00-4519-866a-5a2c4aec8c96,2025-05-19,40.0,-30.0,10.0,2025-05-19 17:30:00,2025-05-19 17:00:00
fe3fff05-8c00-4519-866a-5a2c4aec8c96,2025-05-21,12.948555970125867,0.0,12.948555970125867,2025-05-21 15:45:00,2025-05-21 15:45:00
fe3fff05-8c00-4519-866a-5a2c4aec8c96,2025-05-21,14.677883240745704,0.0,14.677883240745704,2025-05-21 16:30:00,2025-05-21 16:30:00
fe3fff05-8c00-4519-866a-5a2c4aec8c96,2025-05-27,10.616117048498422,0.0,10.616117048498422,2025-05-27 18:00:00,2025-05-27 18:00:00
aeabf7ea-6c98-490d-995f-dac99a112812,2025-05-27,12.503403674298394,0.0,12.503403674298394,2025-05-27 18:00:00,2025-05-27 18:00:00
cd0ff517-0bc3-475f-9e90-4128464db541,2025-05-17,20.161631066757536,0.0,20.161631066757536,2025-05-17 17:30:00,2025-05-17 17:30:00
cd0ff517-0bc3-475f-9e90-4128464db541,2025-05-17,65.16163106675754,-45.0,20.161631066757536,2025-05-17 18:45:00,2025-05-17 18:00:00
cd0ff517-0bc3-475f-9e90-4128464db541,2025-05-27,5.161631066757536,15.0,20.161631066757536,2025-05-27 16:45:00,2025-05-27 17:00:00
88f5454b-0700-4ea0-a793-e60baf60d5f0,2025-05-21,40.0,-30.0,10.0,2025-05-21 19:15:00,2025-05-21 18:45:00
3adf8a2d-48bd-4e25-8cfd-13b1ede21696,2025-05-03,29.881003564504425,-15.0,14.881003564504423,2025-05-03 20:15:00,2025-05-03 20:00:00
